"id","name","address","phone","url","latitude","longitude","cfkids"
"3","CrossFit Persist","165 Amboy Ave, #705, Morganville, NJ, 07751, United States","(732) 687-1050","http://www.crossfitpersist.com/","40.3604","-74.2894","true"
"4","Far North CrossFit","17 Finlayson Street, Whangarei, Northland, 0110, New Zealand","021 022 09234","http://www.farnorthcrossfit.com","-35.727","174.3274","true"
"5","CrossFit Dubuque","3080 Cedar Crest Ct., Dubuque, IA, 52003, United States","(563) 552-8423","http://crossfitdubuque.com/","42.4787","-90.7068","false"
"6","Ballston CrossFit","1110 North Glebe Rd, Arlington, VA, 22201, United States","(703) 688-2238","http://www.ballstoncrossfit.com/","38.8838","-77.1172","false"
"8","CrossFit Moorabbin","16 Coachranes Road, Moorabbin, VIC, 3189, Australia","+61 (0)418 565 065","http://www.crossfitmoorabbin.com","-37.9423","145.062","false"
"9","CrossFit Bartlesville","3822 SE Kentucky Suite 13-14, Bartlesville, OK, 74006, United States","(918) 350-0120","http://www.crossfitbartlesville.com","36.7552","-95.9355","true"
"10","Armor CrossFit","880 Macguire Road, Unit B, Ocoee, FL, 34761, United States","(407) 614-8997","http://www.armorcrossfit.com/","28.5562","-81.5432","false"
"11","CrossFit 5150","1480 E 28th St, Signal Hill, CA, 90755, United States","(714) 883-2182","http://www.crossfit5150.com","33.808","-118.1733","true"
"12","CrossFit Karlstad","Kolvgatan 1A, Karlstad, Värmlands Län, 653 41, Sweden","+46708282471","http://www.crossfitkarlstad.se/","59.3896","13.4793","false"
"14","CrossFit Stolitsa","Butyrskaya 46 Building 1, Moscow, Moscow, 119361, Russian Federation","79153737403","http://cfstolitsa.ru/","55.7489","37.5573","false"
"16","CrossFit Bel Air","350 Granary Road, Forest Hill, MD, 21050, United States","(443) 271-1675","http://www.crossfitbelair.com/","39.5684","-76.3603","true"
"19","CrossFit 603","98 Old Derry Road, Hudson, NH, 03051, United States","(603) 490-3188","http://crossfit603.com/","42.8097","-71.413","false"
"20","null",", null, , , null","null","false","43.6553","-79.4463","true"
"22","CrossFit Honor","5519 Willow Way, Orefield, PA, 18069, United States","(610) 248-8050","http://www.crossfithonor.com","40.6061","-75.5943","false"
"23","Reebok CrossFit Stockport","Reebok Ltd. Pepper Rd, Cheshire, England, SK7558, United Kingdom","447595344833","false","53.3779","-2.1412","false"
"24","Aliso CrossFit","6 Journey, Suite 300, Aliso Viejo, CA, 92656, United States","(949) 215-2220","http://www.alisocrossfit.com","33.5687","-117.7283","true"
"27","Fit Strong United CrossFit","118 North Star Street, Victoria, TX, 77904, United States","(361) 648-6696","http://fitstrongunitedcrossfit.com/","28.8382","-97.0047","true"
"28","null",", null, , , null","null","false","47.6909","-65.7002","true"
"29","CrossFit Snaga Escazu","De la antigua rotonda de Multiplaza de Escazú, 300 mts norte.  Bodegas Roca Azul Center #12, Escazu, San Jose, , Costa Rica","(506) 2215-0608","http://www.crossfitescazu.com/","9.9207","-84.1462","false"
"30","null",", null, , , null","null","false","37.6254","-122.4116","true"
"31","Sycamore CrossFit","1330 East State Street, Sycamore, IL, 60178, United States","(815) 375-1010","http://www.sycamorecrossfit.com/","41.9839","-88.658","false"
"32","CrossFit Evviva","234 West 6th Ave., Eugene, OR, 97401, United States","(541) 912-7513","http://crossfitevviva.com/","44.053","-123.0963","false"
"33","CrossFit Getsome365","4131 Smith St, Ste C, Bacliff, TX, 77518, United States","(713) 855-7362","http://www.CrossFitGetSome365.com","29.5042","-94.9974","false"
"34","CrossFit Colossus","Unit 1/10 Electra Place, Mornington, TAS, 7018, Australia","+61400255351","http://crossfitcolossus.com.au/","-42.858","147.392","false"
"35","null",", null, , , null","null","false","42.1911","-70.9404","true"
"36","CrossFit 416","390 Queens Quay W. Unit 114, Toronto, ON, M5V 3A6, Canada","(416) 901-0416","http://www.crossfit416.ca","43.6379","-79.391","false"
"39","CrossFit Giant","250 S Van Brunt St., Englewood, NJ, 07631, United States","(201) 212-3258","http://www.crossfitgiant.com/edgewater/","40.8054","-73.9918","true"
